상품명,가격,분류
빽햄스페셜정식,"4,300",도
미트칠리더블버거,"2,800",햄
햄에그샐러드버거,"2,700",햄
오븐에구운트리플치킨,"3,000",샌
스키피땅콩버터샌드,"2,500",샌
새떡새떡버거,"3,400",햄
돈까스한끼,"3,900",도
간장찜닭한끼,"3,900",도
제육한끼,"3,900",도
브레드이발소시지빵,"2,200",핫
브레드이발소시지김밥,"2,800",김
브레드소시지삼각,"1,200",주
브레드쏘야도시락,"3,900",도
초코윌크브레드,"2,200",샌
남도조기한상,"4,600",도
확!실한제육김밥,"2,500",김
확!실한참치김밥,"2,500",김
확!실한불고기김밥,"2,500",김
채식주의샐러드볼,"4,500",지구인
참치가득유부초밥,"3,700",김
크랩가득유부초밥,"3,700",김
바질페스토두부크럼블,"3,200",샌
채식주의콩고기,"1,200",주
롱앤리치핫도그,"2,300",핫
청양참치마요,"1,200",주
돼지불고기,"1,200",주
고추장불고기,"1,200",주
판타스틱치킨버거,"3,400",햄
커리포테이토PLA,"2,800",샌
오븐에구운더블소시지,"3,000",샌
2XL불고기전주,"1,400",주
2XL참치마요,"1,400",주
통새우커리덮밥,"3,900",도
통새우사천짜장덮밥,"3,900",도
월도프더블스테이크,"3,200",햄
크래프트핑크블라썸,"2,500",샌
통새우튀김빅밥바,"2,200",주
통등심돈까스빅빕바,"2,200",주
빽햄김치볶음,"1,100",주
통새우로제닭갈비덮밥,"3,900",도
갈릭품은햄치즈,"2,400",샌
트리플고기정식,"4,600",도
두껍다!떡갈비김밥,"2,700",김
찰떡쑥떡샌드PLA,"2,800",샌
치킨시저더블스테이크,"3,200",햄
치즈갈비찜김밥,"2,500",김
치즈소고기김밥,"2,800",김
이투스1타김밥,"3,900",도
궁극의정식_불백편,"4,500",도
햄에그치즈샌드PLA,"2,800",샌
허닭훈제닭가슴살,"3,800",샐
두툼한커리치킨버거,"3,000",햄
점보4단햄감자맛살,"2,500",샌
허닭케이준닭가슴살,"3,800",샐
허닭오리지널닭가슴살,"3,800",샐
두툼한통함박버거,"3,000",햄
오색비빔리조또,"4,900",편스
치킨마크니커리,"3,900",도
트리플치킨강정,"8,900",도
두툼한통돈까스버거,"2,900",햄
봄봄햄에그샌드,"2,500",샌
치즈참치마요김밥,"2,300",김
햄치즈브리또,"2,900",GG
자이언트치킨피자,"3,000",GG
로스트비브볼샐러드,"4,800",샐
오곡산채비빔밥,"4,000",도
2XL스팸마요,"1,400",주
리치전주비빔1,"1,000",주
리치참치비빔,"1,000",주
리치참치마요1,"1,000",주
PLA치킨포테이토샌드,"2,800",샌
그릴치킨아몬드샐러드,"4,800",샐
불고기누들볼샐러드,"4,800",샐
점보핫도그갈릭디핑,"3,000",핫
점보핫도그미트칠리,"3,000",핫
베스트빅불고기버거,"2,400",햄
오븐에구운A1스테이크,"3,000",샌
떡튀순어묵탕SET,"6,500",김
김치제육,"1,200",주
바게트콤비네이션,"2,500",피자
A1스테이크치즈버거,"2,800",햄
A1스테이크치즈샌드,"2,500",샌
참치김치볶음밥,"1,000",주
소고기고추장,"1,000",주
스테디3단샌드,"2,500",샌
비프칠리프라이,"4,000",도
통새우플래터,"6,900",도
베이컨맥시멈3단버거,"3,200",햄
초코바닐라츄러스샌드,"2,700",샌
비프라루파스타,"4,200",면
핫비프칠리샌드,"3,200",샌
디럭스스크램블버거,"3,400",햄
흑임자,"1,900",1입샌드
햄치즈연유,"1,900",1입샌드
에그포테이토,"1,900",1입샌드
에그코울슬로,"1,900",1입샌드
가라아게불닭덮밥,"4,000",도
통새우유산슬덮밥,"3,900",도
더블불고기샐러드,"5,700",샐
함박&돈까스,"4,600",도
맥시멈3단버거,"2,800",햄
떠먹는페퍼로니,"5,900",피자
오븐에구운햄치즈에그,"3,000",샌
핫치닭,"4,900",편스